timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,synthetic_time_ms,event,prediction_float,prediction_binary
324342695743538,10.180145,-4.8267107,6.3542113,3.5601227,-0.6291912,1.65911,560340,,0.0063777454,0.0
324342715734769,11.121067,-3.4284968,6.351817,3.8252382,-0.46792278,1.7287487,560360,,0.0063777454,0.0
324342735790154,11.015722,-0.48841715,5.896919,3.3939674,-0.25534168,1.5234979,560380,,0.0063777454,0.0
324342755787807,10.488997,1.9369092,6.4882865,2.366492,0.08674286,1.0836749,560400,,0.0063777454,0.0
324342775848461,10.089166,2.3630772,6.9958572,1.2095132,0.44593164,0.38362336,560420,,0.0063777454,0.0
324342795844000,9.904813,1.2186487,7.16824,0.14660765,0.8735373,-0.22235495,560440,,0.0063777454,0.0
324342815906769,10.268731,-0.39504328,7.1849995,-0.3848451,1.1630874,-0.5155703,560460,,0.0063777454,0.0
324342835894346,10.618284,-0.5267244,6.3709707,-0.2602286,1.4184291,-0.91751957,560480,,0.0063777454,0.0
324342855938422,10.704475,-0.7326257,5.291186,0.02321288,1.5283848,-1.3316863,560500,,0.0063777454,0.0
324342875928884,10.484209,-0.6392518,4.43885,0.14660765,1.568702,-1.6371188,560520,,0.0063777454,0.0
324342895974615,10.374076,-0.9720459,3.916914,0.08674286,1.5577064,-1.8216002,560540,,0.0063777454,0.0
324342915966538,10.603919,-1.0606314,3.4572272,0.015882496,1.5088371,-1.9743165,560560,,0.0063777454,0.0
324342936026884,10.852917,-0.9552865,3.1675289,-0.13683382,1.4770721,-2.0708332,560580,,0.0063777454,0.0
324342956019653,10.599131,-0.61291564,2.6671407,-0.19303341,1.4294246,-2.1563544,560600,,0.0063777454,0.0
324342976082499,10.630256,-0.60812724,2.2002714,-0.39828414,1.3426818,-2.2553146,560620,,0.0063777454,0.0
324342996075960,10.55843,-0.5291186,1.7549498,-0.63529986,1.2986995,-2.271197,560640,,0.0063777454,0.0
324343016136114,10.184934,-1.1540052,2.1811178,-0.79412484,1.2718215,-2.3591616,560660,,0.0063777454,0.0
324343036126999,9.718064,-1.2330139,1.7142484,-0.8393288,1.2131784,-2.4397957,560680,,0.0063777454,0.0
324343056186229,9.478644,-1.3838485,1.5921441,-1.0005972,1.1362094,-2.452013,560700,,0.0063777454,0.0
324343076190498,9.160215,-1.4341269,1.6352397,-1.1068878,1.070236,-2.453235,560720,,0.0063777454,0.0
324343096263383,8.908825,-1.8674773,1.5801731,-1.2571607,0.9431759,-2.4422393,560740,,0.0063777454,0.0
324343116263537,8.48984,-2.741361,2.1452048,-1.3426818,0.79779,-2.3530529,560760,,0.0063777454,0.0
