timestamp,x,y,z
88364684011543,-0.25857377,-7.1083846,0.36152446
88364701734082,0.6344634,-8.913613,-0.4237737
88364721756582,0.29688102,-10.670957,-1.0247183
88364741777312,0.82599956,-11.3964,-1.2306197
88364761804351,0.9792285,-11.164163,-1.0606314
88364781830197,0.06943185,-10.8385515,-0.29927522
88364801855158,-0.2896984,-11.358093,0.46208093
88364822446504,0.021547815,-11.360487,1.9728222
88364843477120,1.1899183,-11.121067,3.5075054
88364861975158,0.20829555,-10.055647,4.4580035
88364882000504,0.3184288,-10.670957,4.5394063
88364902022735,0.32561144,-12.045229,3.7493198
88364922047427,-0.17956513,-11.623849,2.566584
88364942068427,0.25857377,-10.187328,0.8882488
88364962091542,0.33039984,-11.200075,0.46208093
88364982677658,-0.7254431,-9.495404,-0.81163436
88365004485542,0.19871874,-5.48751,-1.0773908
88365022211542,-0.46447513,-5.0182467,0.16998832
88365042242388,-0.3184288,-5.8203044,1.1947067
88365062328926,-0.30406362,-6.679823,2.554613
88365082304465,-0.062249243,-7.536947,2.6527755
88365102357388,0.533907,-8.39886,3.5003228
88365122324811,-0.11252748,-8.9519205,4.548983
88365142926003,0.15562311,-10.7356,5.7484784
88365163867849,0.260968,-12.497733,6.543353
88365182416388,-0.19153613,-10.15381,6.615179
88365202408272,-0.35194764,-9.811439,6.1123967
88365222456887,0.58418524,-9.629479,5.6120086
88365242457349,0.29209262,-10.000581,5.377377
88365262507926,0.23702596,-9.497798,4.4699745
88365282511464,0.36152446,-8.391677,3.620033
88365303122733,0.5746084,-7.8649526,3.0765493
88365324912733,-0.20829555,-8.0924015,2.6862943
88365342664733,-0.15801731,-8.880095,2.5905263
88365362675041,-0.038307227,-9.330204,2.695871
88365382731233,-0.557849,-10.012551,2.8921957
88365402738464,-1.412579,-10.424355,2.0111294
88365422781425,-0.9911995,-8.662222,1.685518
88365442772310,-0.6655881,-8.039729,2.528277
88365463350733,-0.4357447,-8.846576,3.2752678
88365484367425,-1.3718776,-10.201694,4.0892963
88365502851040,-1.13964,-11.080365,4.9655743
88365522870271,-0.36631286,-9.85214,5.3438582
88365542893925,0.11492168,-9.138668,5.379771
88365562907463,-0.6560113,-8.664616,5.2600613
88365582913617,-0.5291186,-8.300697,4.9799395
88365602930232,0.21787235,-8.054094,4.8985367
88365623508847,0.21787235,-7.6255326,4.6830587
88365645294809,0.30885202,-7.21373,4.441244
88365663011501,0.62488663,-7.620744,4.3382936
88365683035655,-0.6991069,-8.576031,4.24492
88365703055424,-0.7206547,-8.829816,4.209007
88365723076462,-0.89782566,-9.375694,4.261679
88365743107347,-0.62249243,-10.204087,4.855441
88365763135270,-0.6895301,-9.588778,5.00867
88365783722193,-1.6208745,-9.902418,5.080496
88365804706962,-0.9648633,-9.76116,5.3223104
88365823249654,-1.2952632,-9.205706,5.9639564
88365843278385,-1.412579,-8.74123,5.98311
88365863302346,-0.6512229,-8.599973,6.054936
88365883322231,-1.2641385,-8.544906,6.5481415
88365903346539,-1.4796166,-8.420407,7.067683
88365923343000,-0.6512229,-8.47308,7.1849995
88365943904423,-0.37828386,-8.520964,7.240066
88365965672846,-0.6919243,-7.797915,6.5122285
88365983371038,-0.90261406,-7.8146744,5.9424086
88366003376269,-0.7158663,-7.1945763,6.0836663
88366023390500,-0.7517793,-6.8761473,6.1985884
88366043405038,-0.6488287,-6.5625067,6.3901243
88366063425500,-0.24660277,-5.923255,5.681441
88366083448076,-0.031124622,-5.590461,5.085284
88366104036999,-0.89782566,-5.554548,4.865018
88366125068461,-1.0510546,-5.8801594,4.630386
88366143567576,-0.2681506,-6.6367273,5.427655
88366163596653,-1.4891934,-7.1610575,6.256049
88366183616191,-2.195483,-7.493851,6.667852
88366203630461,-1.7597382,-8.607155,7.101202
88366223656999,-1.4628572,-9.01417,7.091625
88366243688153,-1.7286136,-7.831434,7.2664022
88366264275845,-1.3455414,-6.4188547,6.6415157
88366286077614,-0.60333884,-6.277597,5.913678
88366303809037,0.19871874,-7.043741,4.9895163
88366323827960,-0.08140286,-7.773973,4.197036
88366343847306,-0.10534488,-7.575254,4.0054994
88366363874845,-0.055066638,-7.869741,3.9815574
88366383900229,-0.37828386,-8.959103,4.4077253
88366403921114,-0.3184288,-9.097966,4.0892963
88366424500344,-1.0702082,-8.544906,3.8402996
